"";"N";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO";"DECRETOS";"DURAÇÃO"
"153";"2303";"Vasconcellos & Torres.";"Capital Federal.";"Carro mecanico, denominado Vastor para con- ducção de passageiros e cargas.";"30 de julho.";"Idem."
"131";"2604";"Paulo Benedetti.";"Idem";"Apparelho de fabricar gaz acetyleno, denominado Acetylogenico Economico.";"4 de ag";""
"155";"2603";"Jayme William Paige e Theron Solymon Eugene Dixon.";"Chieago (E. U. da America do Norte).";"Aperfeiçoamento em methodos de operar tur- binas de vapor e ar.";"Idem";"Idem."
"156";"2306";"John Charles William Stanley.";"Lendres (Inglaterra)";"Aperfeiçoamento no tratamento das sementes de algodão.";"Ide:n";"Iden."
"157";"2307";"Paul Filippe Honoré Mace";"Paris (França).";"Novo gazogeneo com campana para gaz acety- leno";"Idem";"Idem."
"158";"2608";"Carlos de Andrade.";"Ponte Nova (Estado de Mi- nas Geraes)";"Descascador para café, denominado-Descascador Carlos de Andrada";"Idem";"Idem."
"159";"2609";"o mesmo";"Idem";"Engenho combinado para preparar café, deno- minado - Engenho Carlos de Andrade.";"Ide";"Idem."
"160";"2113 (bis)";"Ernest Besenbruch e H. c. Meyer";"Hamburg sobre o Elbe (Al- lemanha)";"Um processo aperfeiçoado para branquear e tingir canna da India, rotim ou outros cannos semelhantes.";"Idem";"Idem."
"131";"2011";"José Camillo de Castro Lelte";"Barbacena (Minas Geraes)";"Um forno para esmaltar sal dos productos ceramicos";"6 de agosto.";"Idem."
"162";"2612";"George Mchilald Lowry";"Chicago (E. U. da America do Norte).";"Prensa de comprimir algodão, lã, cabeilo e se- melhantes";"Ide:n";"Idem."
"163";"2313";"Josquim Franco de Lacerda.";"S. Paulo.";"Uma invenção denominada - Café Lacerda - destinada ao preparo de café puro ou coin as- sucar em tibloides ou blocos.";"10 de agosto";"Idem."
"164";"2313 (bis)";"Joaquim Franco de Lacerdo.";"Idem";"Melhoramentos que introduziu em sua invenção denominada - Café Lacerda - destinada ao preparo do café puro ou com assucar em ta- bloides ou blucos, privilegiada pela patente n. 2513, de 10 de agosto de 1898";"11 de agosto";"Emquan!o vi- gorar a pri- tente n 2613, de 10 de ag is- to de 1593."
"163";"2311";"Manoel Flores";"Capital Fel ral.";"Uma tinta para estender sobre easas, edifícios, carros de estradas de ferr), etc., para nelles manter frescura, sendo esta tinta denominada Frosca braziliera";"Idem";"15 annos."
